City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,povenets,62.8487,34.8262,-3.64,94,100,4.5,RU,1680547166
143,nuuk,64.1835,-51.7216,-0.66,64,20,6.17,GL,1680547168
144,komsomolskiy,40.4272,71.7189,16.4,48,75,5.14,UZ,1680547158
145,provideniya,64.3833,-173.3,-13.56,94,89,3.39,RU,1680547166
146,zhangjiakou,40.81,114.8794,7.46,55,100,3.23,CN,1680547150
147,cayenne,4.9333,-52.3333,29.02,65,40,5.66,GF,1680547164
148,pandan,14.0453,124.1694,25.27,81,100,5.89,PH,1680547174
149,salalah,17.0151,54.0924,29.05,74,20,1.54,OM,1680547176
150,lompoc,34.6391,-120.4579,15.01,54,20,12.35,US,1680547177
151,tessalit,20.1986,1.0114,29.39,5,0,4.31,ML,1680547178
152,malyye derbety,47.9547,44.6808,13.9,64,100,4.56,RU,1680547179
153,chumikan,54.7183,135.315,-3.36,76,44,8.53,RU,1680547181
154,tonota,-21.4833,27.4833,21.3,42,0,3.65,BW,1680547182
155,khandyga,62.6667,135.6,-13.87,92,100,1.26,RU,1680547183
156,malanje,-9.5402,16.341,18.33,97,91,0.89,AO,1680547184
157,erdenet,49.0333,104.0833,-11.01,66,0,2.84,MN,1680547185
158,westport,41.1415,-73.3579,15.24,43,0,6.17,US,1680547059
159,saint-paul,-21.0096,55.2707,24.06,96,100,0.45,RE,1680547188
160,ahuimanu,21.4447,-157.8378,23.84,85,75,4.12,US,1680547189
161,anloga,5.7947,0.8973,28.46,77,100,5.9,GH,1680547190
162,wanning,18.8003,110.3967,24.8,93,7,5.26,CN,1680547191
163,urubamba,-13.3047,-72.1158,22.5,74,100,3.02,PE,1680547192
164,roma,43.2128,-75.4557,17.05,33,0,6.69,US,1680547194
165,puerto del rosario,28.5004,-13.8627,21.86,56,20,9.26,ES,1680547195
166,nemuro,43.3236,145.575,0.91,59,0,3.05,JP,1680547196
167,nieuwpoort,51.1244,2.7735,8.0,44,0,5.66,BE,1680547198
168,new norfolk,-42.7826,147.0587,12.06,73,100,1.27,AU,1680547162
169,narsaq,60.9167,-46.05,10.12,86,100,3.51,GL,1680547137
170,fairbanks,64.8378,-147.7164,-6.33,81,77,0.45,US,1680547200
171,adwa,14.1646,38.8955,19.36,30,71,2.16,ET,1680547203
172,san lawrenz,36.0553,14.204,14.92,80,82,3.13,MT,1680547205
173,vila velha,-20.3297,-40.2925,27.97,57,75,6.17,BR,1680547206
174,le port,-20.9373,55.2919,24.0,96,100,2.27,RE,1680547208
175,la ronge,55.1001,-105.2842,-8.88,37,40,3.6,CA,1680547209
176,bodden town,19.2833,-81.25,29.0,61,20,5.14,KY,1680547211
177,isangel,-19.55,169.2667,24.06,94,40,0.0,VU,1680547213
178,thompson,55.7435,-97.8558,-13.91,56,20,0.0,CA,1680547140
179,independence,39.0911,-94.4155,20.44,65,100,5.66,US,1680547200
180,concepcion del oro,24.6333,-101.4167,27.36,12,71,3.56,MX,1680547218
181,khani,41.9563,42.9566,6.76,87,100,1.89,GE,1680547098
182,sept-iles,50.2001,-66.3821,0.03,50,75,6.17,CA,1680547022
183,shaowu,27.3409,117.4831,18.53,94,100,1.81,CN,1680547222
184,rodrigues alves,-7.738,-72.6509,30.11,68,96,1.86,BR,1680547228
185,bonavista,48.6499,-53.1147,1.51,73,57,8.71,CA,1680547229
186,braedstrup,55.9708,9.6085,4.61,70,100,1.7,DK,1680547230
187,haines junction,60.7522,-137.5108,-8.03,62,19,1.03,CA,1680547231
188,souillac,-20.5167,57.5167,26.21,83,40,3.09,MU,1680547233
189,claveria,18.6074,121.0832,23.74,87,87,5.91,PH,1680547234
190,hervey bay,-25.2986,152.8535,21.03,89,13,5.75,AU,1680547079
191,ostrovnoy,68.0531,39.5131,-7.67,85,20,7.34,RU,1680547236
192,baykit,61.67,96.37,-9.55,95,75,2.02,RU,1680547237
193,leh,34.1667,77.5833,-5.11,76,98,0.78,IN,1680547239
194,cabo san lucas,22.8909,-109.9124,27.25,47,75,2.06,MX,1680546662
195,saint-joseph,-21.3667,55.6167,23.21,82,100,3.0,RE,1680547216
196,hobyo,5.3505,48.5268,28.66,72,4,6.73,SO,1680547242
197,namatanai,-3.6667,152.4333,25.99,81,97,1.66,PG,1680547243
198,nioro,13.35,-15.75,32.44,24,6,6.4,GM,1680547246
199,liverpool,53.4106,-2.9779,11.16,62,0,3.6,GB,1680547247
200,sirnak,37.5228,42.4594,7.04,74,2,1.81,TR,1680547248
201,victoria,22.2855,114.1577,22.76,95,97,6.83,HK,1680546936
202,kearney,40.6995,-99.0815,14.31,43,0,11.83,US,1680546545
203,kotovo,50.3211,44.8012,11.32,49,100,2.74,RU,1680547253
204,pisco,-13.7,-76.2167,27.03,74,0,6.69,PE,1680547254
205,ixtapa,20.7,-105.2,26.57,57,75,4.12,MX,1680547255
206,zhuhai,22.2769,113.5678,22.84,100,40,6.17,CN,1680547067
207,lata,40.1629,-8.3327,14.9,70,100,2.38,PT,1680547183
208,mitchell,43.7094,-98.0298,6.99,58,100,3.6,US,1680547259
209,alta floresta,-9.8756,-56.0861,29.9,66,40,1.03,BR,1680547260
210,yaan,7.3833,8.5667,32.82,40,100,3.99,NG,1680547220
211,zmeinogorsk,51.1567,82.195,-3.23,82,4,1.42,RU,1680547262
212,dingle,10.9995,122.6711,24.02,88,100,2.81,PH,1680547181
213,ruteng,-8.6136,120.4721,16.47,93,63,0.43,ID,1680547267
214,vila franca do campo,37.7167,-25.4333,15.23,65,32,2.7,PT,1680547185
215,san patricio,28.017,-97.5169,33.42,52,99,7.01,US,1680547188
216,pacasmayo,-7.4006,-79.5714,27.98,72,100,3.8,PE,1680547271
217,east london,-33.0153,27.9116,19.52,68,0,5.66,ZA,1680547272
218,sari,36.5633,53.0601,10.77,87,0,0.0,IR,1680547273
219,sukhobezvodnoye,57.0491,44.8891,5.28,90,95,2.58,RU,1680547275
220,chinhoyi,-17.3667,30.2,18.58,78,46,1.87,ZW,1680547277
221,andros town,24.7,-77.7667,28.98,65,5,5.29,BS,1680547278
222,agadir,30.4202,-9.5982,20.25,55,0,0.1,MA,1680547240
223,dillon,34.4166,-79.3712,22.19,47,100,3.56,US,1680547061
224,hualmay,-11.0964,-77.6139,27.17,70,93,4.35,PE,1680547170
225,majene,-3.5403,118.9707,25.64,82,100,1.68,ID,1680547283
226,prince albert,53.2001,-105.7677,-11.03,57,75,1.54,CA,1680547102
227,ajdabiya,30.7554,20.2263,16.64,51,0,3.88,LY,1680547286
228,castro,-24.7911,-50.0119,23.72,56,0,2.16,BR,1680547144
229,ballina,-28.8667,153.5667,18.21,90,100,4.53,AU,1680547295
230,slave lake,55.2834,-114.769,-1.01,69,100,1.03,CA,1680547085
231,sidi ali,36.0998,0.4206,11.96,65,11,1.91,DZ,1680547156
232,ljungby,56.8332,13.9408,1.23,67,67,2.42,SE,1680547298
233,charleston,32.7766,-79.9309,23.1,75,0,6.69,US,1680547016
234,joensuu,62.6012,29.7632,-2.73,50,0,2.57,FI,1680547301
235,douglas,41.3,-96.167,14.99,35,100,6.69,US,1680547183
236,bubaque,11.2833,-15.8333,25.86,76,7,7.22,GW,1680547304
237,chara,56.9064,118.2631,-12.9,82,93,1.82,RU,1680547288
238,namibe,-15.1961,12.1522,24.56,69,93,3.73,AO,1680547256
239,campoverde,-8.4753,-74.8058,30.83,88,100,1.15,PE,1680547307
240,tyumentsevo,53.3224,81.498,-2.35,72,10,2.97,RU,1680547308
241,cherskiy,68.75,161.3,-24.41,90,100,3.81,RU,1680547188
242,ancud,-41.8697,-73.8203,14.38,65,6,3.0,CL,1680547206
243,makat,47.6469,53.3463,13.91,44,100,5.54,KZ,1680547312
244,zyryanka,65.75,150.85,-21.65,93,9,3.64,RU,1680547313
245,mbekenyera,-10.0,38.9833,21.68,96,100,1.63,TZ,1680547314
246,mazamari,-11.3258,-74.5308,30.67,52,53,1.44,PE,1680547315
247,nanortalik,60.1432,-45.2371,2.7,86,100,1.69,GL,1680547244
248,muzhi,65.3667,64.6667,-20.49,93,5,1.44,RU,1680547317
249,harper,4.375,-7.7169,26.88,82,53,2.51,LR,1680547319
250,ringas,27.35,75.5667,22.91,44,32,1.0,IN,1680547320
251,songjianghe,42.1859,127.479,7.11,59,100,1.16,CN,1680547321
252,tam ky,15.5667,108.4833,24.11,94,2,1.54,VN,1680547322
253,saskylakh,71.9167,114.0833,-20.87,97,97,4.92,RU,1680547277
254,constantine,36.365,6.6147,8.67,76,75,5.66,DZ,1680547290
255,tateyama,34.9833,139.8667,10.35,60,1,4.33,JP,1680547307
